Dataset_Food_Alternatives
Food Name,Food Name (Alternatives),Avg Energy (kcal),Avg Protein (g),Avg Fat (g),Avg Carbohydrate (g),Avg Fibre (g),Avg Total Sugar (g),Avg Saturated Fat (g),Avg Cholesterol (mg),Avg Calcium (mg),Avg Iron (mg),Avg Sodium (mg),Avg Potassium (mg),Avg Magnesium (mg),Avg Phosphorus (mg),Avg Thiamin (mg),Avg Riboflavin (mg),Avg Niacin (NE),Avg Folate (mcg DFE),Avg Vitamin A (mcg RAE),Avg Vitamin C (mg),Avg Vitamin B12 (mcg),Avg Vitamin D (mcg),Avg Vitamin E (mg),Avg Beta-carotene (mcg),Avg Lycopene (mcg),Avg Monounsaturated Fat (g),Avg Polyunsaturated Fat (g),Avg Trans Fat (g),Avg Alcohol (g),Avg Caffeine (mg),Avg DHA (g),Avg EPA (g)
Meat,"Red meat, beef, pork, lamb",220,26.0,15.5,0.0,0.0,0.0,8.4,75,99,7.1,546,676,51,120,0.23,0.32,1.7,100,966,37.3,0.11,3.34,0.5,0,0,8.8,1.6,0.96,0.0,0,0.05,0.03
Poultry,"Chicken, turkey, duck, fowl",165,28.0,7.5,0.0,0.0,0.0,2.0,80,232,2.6,252,713,78,213,0.34,0.59,8.8,148,848,27.1,1.34,7.71,0.4,0,0,2.7,1.7,0.1,0.0,0,0.02,0.01
Fish,"Whitefish, salmon, tuna, seafood",180,22.0,8.0,0.0,0.0,0.0,2.5,85,75,3.4,389,457,29,238,0.47,0.37,5.0,89,83,64.4,2.71,1.07,1.2,0,0,2.0,2.5,0.1,0.0,0,0.25,0.15
Seafood,"Shellfish, crustaceans, mollusks",120,18.0,4.0,2.0,0.0,0.0,1.0,60,264,4.4,593,82,105,55,0.36,0.45,7.4,109,360,40.9,3.17,0.75,1.0,0,0,1.2,2.5,0.1,0.0,0,0.4,0.3
Beans,"Legumes, pulses",145,9.0,1.0,27.0,7.5,1.5,0.2,0,283,2.6,882,144,50,349,0.65,0.55,5.7,163,688,2.5,1.29,7.28,0.7,150,0,0.3,0.5,0.0,0.0,0,0.0,0.0
Lentils,"Legumes, pulses",165,9.0,0.8,28.0,7.5,1.0,0.1,0,205,4.1,255,84,80,106,0.48,0.55,10.0,181,147,15.6,0.7,4.95,0.5,120,0,0.2,0.4,0.0,0.0,0,0.0,0.0
Sausage,"Bratwurst, hot dog, chorizo",300,15.0,25.0,3.0,0.0,2.0,8.0,80,222,5.8,708,77,132,318,0.58,0.2,7.5,56,629,71.6,4.17,6.88,1.0,30,20,10.0,3.0,0.5,0.0,0,0.0,0.0
Cheese,"Dairy, cheddar, mozzarella, feta",350,23.0,28.0,1.5,0.0,1.0,17.0,90,51,7.4,814,456,28,47,0.74,0.68,7.1,0,341,65.9,4.92,4.35,0.3,120,0,7.0,1.0,0.8,0.0,0,0.0,0.0
Milk,"Dairy, almond milk, soy milk",61,3.2,3.3,4.8,0.0,5.0,1.9,14,143,7.7,920,0,131,60,0.56,0.09,7.8,62,475,2.7,2.63,2.46,0.1,20,0,0.8,0.2,0.1,0.0,0,0.01,0.01
Yogurt,"Dairy, probiotic, kefir",61,4.5,3.3,5.0,0.0,5.0,2.0,13,68,8.2,449,50,137,336,0.59,0.14,1.4,181,62,22.2,0.86,8.19,0.1,10,0,0.8,0.2,0.1,0.0,0,0.01,0.01
