epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.1417,1.84819,3.62409,1.93531,0.00653,0.57424,0.08031,0.03429,1.45547,3.59411,1.71722,8.75e-05,8.75e-05,8.75e-05
2,172.241,1.53179,3.48185,1.74527,0.00677,0.59697,0.21717,0.12036,1.40551,3.50579,1.65496,0.000185644,0.000185644,0.000185644
3,259.584,1.37239,3.1392,1.59216,0.00698,0.59697,0.26391,0.14124,1.42494,3.52337,1.68701,0.000281807,0.000281807,0.000281807
4,346.29,1.37269,2.87612,1.52993,0.0075,0.59697,0.29046,0.17992,1.28216,3.47117,1.6155,0.000375991,0.000375991,0.000375991
5,432.653,1.37471,2.54012,1.57714,1,0.02946,0.31421,0.17364,1.38419,3.3169,1.71815,0.000468195,0.000468195,0.000468195
6,518.583,1.39511,2.42803,1.55189,1,0.09749,0.34478,0.18433,1.41877,3.18792,1.75306,0.000558419,0.000558419,0.000558419
7,598.028,1.40477,2.21385,1.56274,1,0.12893,0.38144,0.19346,1.47805,3.10408,1.75394,0.000646662,0.000646662,0.000646662
8,679.162,1.36824,2.01676,1.54479,0.98063,0.1985,0.4437,0.24495,1.45752,2.73488,1.80746,0.000732926,0.000732926,0.000732926
9,760.003,1.37402,1.96784,1.53478,0.80683,0.29124,0.41757,0.20576,1.61262,2.61082,1.97546,0.00081721,0.00081721,0.00081721
10,840.775,1.35117,1.8634,1.49825,0.69354,0.4765,0.46593,0.25211,1.63821,2.37887,2.07368,0.000899514,0.000899514,0.000899514
11,923.732,1.31463,1.75716,1.47682,0.69083,0.47504,0.50075,0.28468,1.49359,2.21555,1.93869,0.000979838,0.000979838,0.000979838
12,1006.07,1.33468,1.67237,1.48798,0.75301,0.52932,0.57895,0.3042,1.66908,1.9937,2.06365,0.00105818,0.00105818,0.00105818
13,1088.38,1.40127,1.72944,1.5283,0.692,0.48333,0.59701,0.26595,1.77134,2.16572,2.07161,0.0011015,0.0011015,0.0011015
14,1170.81,1.31897,1.65649,1.45755,0.90015,0.40815,0.49162,0.18906,1.85562,2.837,2.47334,0.00108913,0.00108913,0.00108913
15,1253.13,1.30241,1.59941,1.43978,0.56787,0.42121,0.37818,0.16162,1.86676,2.67789,2.40671,0.00107675,0.00107675,0.00107675
16,1336.79,1.25943,1.51847,1.39449,0.38639,0.68864,0.60718,0.26769,1.67718,2.3785,1.9649,0.00106437,0.00106437,0.00106437
17,1419.96,1.27387,1.51755,1.40049,0.41835,0.47997,0.53048,0.26353,1.70281,2.29316,2.08539,0.001052,0.001052,0.001052
18,1503.79,1.25786,1.45306,1.42686,0.74067,0.43788,0.48499,0.25941,1.60459,2.14108,1.94277,0.00103962,0.00103962,0.00103962
19,1586.85,1.21107,1.37347,1.36796,0.45693,0.54229,0.52758,0.30801,1.56328,1.88506,1.80113,0.00102725,0.00102725,0.00102725
20,1670.29,1.2479,1.3667,1.37163,0.7812,0.43294,0.50553,0.23523,1.90455,1.97067,2.1858,0.00101488,0.00101488,0.00101488
21,1753.64,1.20523,1.27684,1.34096,0.36039,0.42121,0.39297,0.2092,1.7677,2.04701,1.94763,0.0010025,0.0010025,0.0010025
